New Per Budget Aprobado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KPIS (ARS),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,% Expired Discounts,20%,5%,10%,75%,12%,82%,25%,11%,64%,4%,0%,76%,0%,0%,64%,0%,0%,54%,0%,0%,42%,0%,0%,40%
,,% Price Movements,19%,25%,32%,3%,18%,5%,49%,35%,11%,26%,16%,3%,18%,17%,5%,14%,13%,5%,11%,11%,6%,10%,10%,6%
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P&L (ARS k),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,Revenues,"502.820,9","486.931,8","476.206,0","516.916,2","513.402,5","539.862,8","531.358,7","516.640,7","501.962,0","527.892,8","499.953,6","506.666,7","514.304,7","507.620,6","516.988,3","528.180,2","527.802,9","541.712,9","558.116,5","564.815,2","582.916,7","601.449,1","611.978,6","634.488,4"
,,Direct Costs,"(67.160,0)","(72.818,2)","(73.562,7)","(96.336,6)","(79.422,1)","(81.118,1)","(91.822,9)","(79.138,3)","(85.370,4)","(93.265,5)","(76.299,4)","(70.551,3)","(86.042,1)","(90.166,0)","(84.281,0)","(87.415,9)","(87.729,4)","(96.866,3)","(104.474,0)","(106.316,9)","(105.807,8)","(109.278,5)","(108.811,4)","(110.880,8)"
,,Platform,"(18.376,6)","(18.245,8)","(20.431,6)","(62.993,6)","(34.468,9)","(35.091,2)","(43.120,2)","(36.659,5)","(40.726,8)","(45.604,8)","(32.260,0)","(31.028,6)","(32.605,8)","(34.228,4)","(35.958,2)","(37.019,4)","(38.663,3)","(39.874,0)","(41.668,6)","(43.067,5)","(45.192,8)","(46.524,1)","(48.631,0)","(49.853,6)"
,,Support,"(48.783,5)","(54.572,4)","(53.131,1)","(33.343,0)","(44.953,2)","(46.026,9)","(48.702,7)","(42.478,8)","(44.643,6)","(47.660,7)","(44.039,5)","(39.522,7)","(53.436,4)","(55.937,6)","(48.322,8)","(50.396,5)","(49.066,0)","(56.992,4)","(62.805,4)","(63.249,4)","(60.615,1)","(62.754,3)","(60.180,3)","(61.027,1)"
,,Gross Margin,"435.660,9","414.113,6","402.643,3","420.579,6","433.980,4","458.744,7","439.535,9","437.502,4","416.591,6","434.627,3","423.654,2","436.115,3","428.262,5","417.454,6","432.707,3","440.764,3","440.073,5","444.846,5","453.642,4","458.498,3","477.108,9","492.170,6","503.167,2","523.607,6"
,,% Gross Margin,"86,6%","85,0%","84,6%","81,4%","84,5%","85,0%","82,7%","84,7%","83,0%","82,3%","84,7%","86,1%","83,3%","82,2%","83,7%","83,4%","83,4%","82,1%","81,3%","81,2%","81,8%","81,8%","82,2%","82,5%"
,,Operating Expenses,"(200.223,8)","(231.193,9)","(240.687,0)","(227.140,1)","(303.980,3)","(281.847,7)","(332.419,5)","(234.615,2)","(285.878,1)","(233.641,8)","(314.609,0)","(364.307,6)","(362.937,1)","(362.628,0)","(357.853,9)","(378.146,7)","(367.892,1)","(383.413,7)","(392.181,5)","(375.682,9)","(373.828,6)","(394.596,4)","(378.589,0)","(382.199,0)"
,,CAC,"(63.957,8)","(65.981,2)","(70.395,9)","(67.644,2)","(83.339,4)","(88.616,2)","(76.769,0)","(65.594,7)","(97.698,0)","(67.027,3)","(94.518,1)","(122.100,1)","(131.557,7)","(126.141,3)","(129.611,8)","(135.789,7)","(132.541,6)","(132.914,3)","(138.090,9)","(133.111,5)","(134.047,2)","(139.741,2)","(134.787,4)","(134.471,0)"
,,Customer,"(11.800,8)","(7.046,8)","(6.256,7)","(3.010,1)","(4.092,8)","(5.134,2)","(6.216,9)","(6.191,3)","(12.623,5)","(13.172,1)","(24.564,0)","(23.759,2)","(29.732,1)","(31.446,0)","(29.846,1)","(31.525,1)","(30.667,9)","(31.175,9)","(34.214,8)","(32.485,2)","(33.078,7)","(34.333,2)","(33.118,2)","(33.185,6)"
,,Sales,"(32.381,1)","(36.044,4)","(37.625,4)","(36.492,6)","(46.147,2)","(49.477,5)","(30.083,5)","(31.322,7)","(39.691,5)","(33.078,2)","(38.733,2)","(52.932,9)","(59.610,8)","(55.679,8)","(54.281,8)","(57.225,3)","(55.894,9)","(55.215,1)","(55.595,6)","(53.847,0)","(53.458,3)","(56.320,3)","(54.311,1)","(54.085,3)"
,,Marketing,"(19.775,8)","(22.890,0)","(26.513,7)","(28.141,5)","(33.099,5)","(34.004,6)","(40.468,6)","(28.080,8)","(45.383,0)","(20.777,0)","(31.220,8)","(45.408,0)","(42.214,8)","(39.015,4)","(45.483,9)","(47.039,4)","(45.978,8)","(46.523,3)","(48.280,6)","(46.779,3)","(47.510,3)","(49.087,8)","(47.358,1)","(47.200,0)"
,,Revenue Admin,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
,,Partners,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
,,G&A,"(77.519,8)","(82.317,1)","(78.979,1)","(94.072,7)","(99.078,0)","(104.534,2)","(105.002,0)","(94.641,3)","(111.270,4)","(89.216,7)","(95.538,5)","(112.543,7)","(108.498,5)","(109.378,7)","(105.419,4)","(110.486,4)","(107.723,0)","(106.525,7)","(116.860,5)","(108.441,2)","(110.754,4)","(116.016,1)","(111.965,0)","(116.229,9)"
,,Administration & Ops,"(13.498,4)","(13.993,8)","(13.367,9)","(13.042,7)","(13.425,5)","(12.990,9)","(14.280,3)","(13.328,1)","(13.073,0)","(13.546,6)","(12.953,9)","(12.754,8)","(12.998,2)","(14.624,7)","(13.008,7)","(13.013,9)","(13.017,0)","(13.246,2)","(13.024,3)","(13.028,5)","(13.032,7)","(13.036,8)","(13.041,0)","(13.043,1)"
,,Corporate,"(28.135,1)","(28.375,5)","(26.068,7)","(32.180,8)","(41.294,2)","(39.405,9)","(33.714,5)","(16.999,7)","(31.894,3)","(32.049,4)","(24.589,7)","(33.281,4)","(39.077,6)","(40.546,8)","(39.036,4)","(42.425,8)","(40.292,6)","(39.885,5)","(44.419,9)","(41.149,4)","(40.889,3)","(45.164,2)","(41.602,7)","(41.432,7)"
,,Finances,"(21.624,1)","(25.705,4)","(26.043,8)","(27.372,2)","(29.003,1)","(24.166,8)","(32.762,6)","(22.260,4)","(32.931,6)","(20.911,7)","(19.966,5)","(20.747,6)","(25.632,0)","(29.354,0)","(29.112,1)","(29.207,9)","(29.443,1)","(26.963,9)","(32.688,3)","(28.197,0)","(30.734,8)","(30.615,9)","(31.451,5)","(29.693,4)"
,,Human Resources,"(14.262,3)","(14.242,5)","(13.498,7)","(21.476,9)","(15.355,2)","(27.970,6)","(24.244,6)","(42.053,2)","(33.371,5)","(22.709,0)","(38.028,4)","(45.759,8)","(30.790,6)","(24.853,2)","(24.262,3)","(25.838,8)","(24.970,3)","(26.430,0)","(26.728,0)","(26.066,4)","(26.097,6)","(27.199,2)","(25.869,8)","(32.060,7)"
,,Company Wide,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
